rno,code1,code2,hhmms0,data1,data2,data3,data4,ldata5,Šç”FØ
1,1,14,9510,0,0,0,0,0,0
2,129,14,9512,0,0,0,0,0,0
3,0,38,9512,90,2048,126,1,0,0
4,0,38,9513,197,2048,126,1,0,0
5,0,38,9513,10,2048,126,1,0,0
6,0,38,9513,141,2048,126,1,0,0
7,0,38,9513,348,2048,126,1,0,0
8,0,38,9513,45,2048,126,1,0,0
9,0,38,9513,350,2048,126,1,0,0
10,0,38,9513,354,2048,126,1,0,0
11,0,38,9513,134,2048,126,1,0,0
12,0,38,9513,297,2048,126,1,0,0
13,0,38,9513,283,2048,126,1,0,0
14,0,38,9513,5,2048,126,1,0,0
15,0,38,9513,390,2048,126,1,0,0
16,0,38,9514,102,2048,126,1,0,0
17,0,38,9514,135,2048,126,1,0,0
18,0,74,10024,354,2049,65524,1,0,1
19,128,74,10025,354,2048,65524,1,0,1
20,0,74,10032,283,2049,65524,1,0,1
21,128,74,10034,283,2048,65524,1,0,1
22,0,34,10042,422,1280,126,1,0,0
23,0,74,10043,348,2049,65524,1,0,1
24,128,74,10044,348,2048,65524,1,0,1
25,0,34,10045,483,1280,126,1,0,0
26,0,34,10045,283,3328,126,1,0,0
27,0,34,10050,600,1280,126,1,0,0
28,0,34,10050,423,1280,126,1,0,0
29,0,34,10052,582,1280,126,1,0,0
30,0,34,10053,251,1280,126,1,0,0
31,128,38,10054,10,768,126,1,0,0
32,0,34,10054,443,1280,126,1,0,0
33,0,34,10060,356,1280,126,1,0,0
34,0,74,10060,45,2049,65524,1,0,1
35,128,74,10060,45,2048,65524,1,0,1
36,0,34,10061,476,1280,126,1,0,0
37,128,34,10062,422,256,126,1,0,0
38,128,37,10062,422,256,126,1,0,0
39,0,34,10062,11,1024,126,1,0,0
40,128,34,10062,251,3072,126,1,0,0
41,0,34,10062,330,1024,126,1,0,0
42,128,37,10063,251,2048,126,1,0,0
43,0,34,10063,199,1280,126,1,0,0
44,0,34,10063,348,3328,126,1,0,0
45,128,34,10064,483,256,126,1,0,0
46,128,37,10064,483,256,126,1,0,0
47,128,34,10064,600,256,126,1,0,0
48,128,37,10064,600,256,126,1,0,0
49,0,34,10064,546,1280,126,1,0,0
50,128,34,10070,582,256,126,1,0,0
51,128,37,10070,582,256,126,1,0,0
52,0,34,10071,577,1280,126,1,0,0
53,0,34,10072,342,1280,126,1,0,0
54,0,34,10073,141,3328,126,1,0,0
55,128,34,10073,443,256,126,1,0,0
56,128,37,10073,443,256,126,1,0,0
57,0,34,10073,489,1280,126,1,0,0
58,128,34,10074,423,256,126,1,0,0
59,128,37,10074,423,256,126,1,0,0
60,128,34,10074,141,3072,126,1,0,0
61,128,37,10075,141,2048,126,1,0,0
62,128,34,10080,11,3328,126,1,0,0
63,128,37,10080,11,2304,126,1,0,0
64,0,34,10081,427,1280,126,1,0,0
65,0,34,10081,102,3072,126,1,0,0
66,0,34,10083,428,1280,126,1,0,0
67,128,34,10083,283,3328,126,1,0,0
68,128,34,10084,546,256,126,1,0,0
69,128,37,10084,546,256,126,1,0,0
70,0,34,10084,354,3328,126,1,0,0
71,128,34,10084,476,256,126,1,0,0
72,128,37,10084,476,256,126,1,0,0
73,128,37,10084,283,2304,126,1,0,0
74,0,34,10084,640,1280,126,1,0,0
75,0,34,10085,5,3072,126,1,0,0
76,0,34,10090,362,1280,126,1,0,0
